scenario,insert_producers,search_producers,query_workers,duration_s,insert_count,search_count,error_count,insert_throughput,search_throughput,insert_p50_us,insert_p99_us,search_p50_us,search_p99_us
balanced_embedding_a,2,2,2,72.35,10000,1340,0,138.2,18.5,1,1,1024,524288
balanced_embedding_b,2,2,2,70.73,10000,1370,0,141.4,19.4,1,1,1024,524288
