scale,bits,ef_search,rerank_factor,k,recall_mean,recall_std,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps,encode_time_s,build_time_s
10000,2,200,10,10,1.0000,0.0000,4.6612,4.1351,8.2179,9.9293,214.5,1.13,89.62
10000,4,200,10,10,1.0000,0.0000,4.2866,4.1810,5.4467,6.0795,233.3,1.12,89.62
