scenario,insert_producers,search_producers,query_workers,duration_s,insert_count,search_count,error_count,insert_throughput,search_throughput,insert_p50_us,insert_p99_us,search_p50_us,search_p99_us
write_heavy_embedding_a,4,1,1,71.02,10000,1370,0,140.8,19.3,1,2,512,524288
write_heavy_embedding_b,4,1,1,71.06,10000,1350,0,140.7,19.0,1,1,512,524288
