scenario,insert_producers,search_producers,query_workers,duration_s,insert_count,search_count,error_count,insert_throughput,search_throughput,insert_p50_us,insert_p99_us,search_p50_us,search_p99_us
read_heavy_embedding_a,1,4,4,30.50,6145,1368,0,201.5,44.8,1,1,4096,524288
read_heavy_embedding_b,1,4,4,30.46,6017,1336,0,197.5,43.9,1,1,4096,524288
