scale,bits,ef_search,rerank_factor,k,recall_mean,recall_std,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps,encode_time_s,build_time_s
100000,1,100,4,10,0.8676,0.1621,22.2832,22.5580,27.8152,29.9166,44.9,11.25,1681.50
100000,1,100,10,10,0.9300,0.1155,44.5516,45.1550,53.1147,56.1558,22.4,11.25,1681.50
100000,1,100,20,10,0.9602,0.0867,73.1228,73.9767,83.9561,87.1012,13.7,11.25,1681.50
100000,2,100,4,10,0.9760,0.0677,9.6149,9.6147,12.0649,12.8956,104.0,11.31,1681.50
100000,2,100,10,10,0.9952,0.0279,18.7989,18.9006,21.8571,22.9820,53.2,11.31,1681.50
100000,2,100,20,10,0.9974,0.0159,31.4356,31.5340,36.0631,37.4431,31.8,11.31,1681.50
100000,4,100,4,10,0.9922,0.0297,9.7804,9.7500,12.2815,13.4733,102.2,11.15,1681.50
100000,4,100,10,10,0.9982,0.0133,18.8874,19.0826,22.2638,24.3845,52.9,11.15,1681.50
100000,4,100,20,10,0.9992,0.0089,31.8434,32.0452,36.4149,38.1701,31.4,11.15,1681.50
