scale,bits,ef_search,rerank_factor,k,recall_mean,recall_std,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps,encode_time_s,build_time_s
1000,1,50,1,10,0.8838,0.1281,1.8447,1.8235,2.1061,2.4141,542.1,0.11,2.22
1000,1,50,4,10,0.9926,0.0277,2.3088,2.2461,2.7294,3.4772,433.1,0.11,2.22
1000,1,50,10,10,1.0000,0.0000,3.0113,2.9267,3.5445,4.1015,332.1,0.11,2.22
1000,1,50,20,10,1.0000,0.0000,3.0091,2.9046,3.6213,4.1924,332.3,0.11,2.22
1000,1,50,50,10,1.0000,0.0000,2.9895,2.9024,3.5296,4.1992,334.5,0.11,2.22
1000,1,100,1,10,0.8838,0.1281,1.8230,1.7974,2.0659,2.3331,548.5,0.11,2.22
1000,1,100,4,10,0.9926,0.0277,2.3217,2.2590,2.7211,3.5086,430.7,0.11,2.22
1000,1,100,10,10,1.0000,0.0000,2.9917,2.9134,3.5962,3.9905,334.3,0.11,2.22
1000,1,100,20,10,1.0000,0.0000,3.0240,2.9243,3.6288,4.3269,330.7,0.11,2.22
1000,1,100,50,10,1.0000,0.0000,2.9699,2.8842,3.5917,3.9945,336.7,0.11,2.22
1000,2,50,1,10,0.9804,0.0534,0.8474,0.8368,1.0182,1.1181,1180.1,0.11,2.22
1000,2,50,4,10,0.9998,0.0045,1.2373,1.2162,1.4436,1.6781,808.2,0.11,2.22
1000,2,50,10,10,1.0000,0.0000,1.8602,1.8230,2.1376,2.9111,537.6,0.11,2.22
1000,2,50,20,10,1.0000,0.0000,1.8354,1.7927,2.1584,2.4385,544.8,0.11,2.22
1000,2,50,50,10,1.0000,0.0000,1.8773,1.8063,2.2255,3.1631,532.7,0.11,2.22
1000,2,100,1,10,0.9804,0.0534,0.8431,0.8291,0.9956,1.1430,1186.1,0.11,2.22
1000,2,100,4,10,0.9998,0.0045,1.2593,1.2157,1.4372,2.2452,794.1,0.11,2.22
1000,2,100,10,10,1.0000,0.0000,1.8475,1.7914,2.1924,2.5989,541.3,0.11,2.22
1000,2,100,20,10,1.0000,0.0000,1.8563,1.8171,2.2049,2.5329,538.7,0.11,2.22
1000,2,100,50,10,1.0000,0.0000,1.8569,1.8047,2.1987,2.9732,538.5,0.11,2.22
1000,4,50,1,10,0.9998,0.0045,0.9019,0.8799,1.0837,1.4588,1108.8,0.11,2.22
1000,4,50,4,10,1.0000,0.0000,1.3219,1.3042,1.5707,1.7163,756.5,0.11,2.22
1000,4,50,10,10,1.0000,0.0000,1.9234,1.8887,2.2429,2.7786,519.9,0.11,2.22
1000,4,50,20,10,1.0000,0.0000,1.9015,1.8607,2.2156,2.7706,525.9,0.11,2.22
1000,4,50,50,10,1.0000,0.0000,1.9386,1.8766,2.3856,3.0738,515.8,0.11,2.22
1000,4,100,1,10,0.9998,0.0045,0.8971,0.8871,1.0461,1.1771,1114.6,0.11,2.22
1000,4,100,4,10,1.0000,0.0000,1.3340,1.2958,1.5684,1.8464,749.6,0.11,2.22
1000,4,100,10,10,1.0000,0.0000,1.8940,1.8678,2.1720,2.4550,528.0,0.11,2.22
1000,4,100,20,10,1.0000,0.0000,1.9177,1.8736,2.2036,2.4677,521.4,0.11,2.22
1000,4,100,50,10,1.0000,0.0000,1.9126,1.8773,2.1992,2.7652,522.9,0.11,2.22
