scale,bits,ef_search,rerank_factor,k,recall_mean,recall_std,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps,encode_time_s,build_time_s
100000,1,50,1,10,0.6910,0.2246,8.2585,8.2556,11.3530,12.7634,121.1,11.25,1679.89
100000,1,50,4,10,0.8676,0.1620,22.3695,22.6296,28.0718,29.8322,44.7,11.25,1679.89
100000,1,50,10,10,0.9302,0.1155,44.1818,44.9581,52.5664,54.7022,22.6,11.25,1679.89
100000,1,50,20,10,0.9604,0.0867,72.1030,72.7235,83.1843,86.1298,13.9,11.25,1679.89
100000,1,50,50,10,0.9834,0.0561,127.8834,128.3349,140.2650,144.5626,7.8,11.25,1679.89
100000,1,100,1,10,0.6910,0.2246,8.3381,8.3138,11.5643,12.9288,119.9,11.25,1679.89
100000,1,100,4,10,0.8676,0.1620,22.3619,22.5677,27.8012,30.2076,44.7,11.25,1679.89
100000,1,100,10,10,0.9302,0.1155,43.9531,44.4591,52.8852,54.7533,22.8,11.25,1679.89
100000,1,100,20,10,0.9604,0.0867,71.5519,72.2823,82.4385,85.7091,14.0,11.25,1679.89
100000,1,100,50,10,0.9834,0.0561,128.6665,129.2631,140.5513,142.7148,7.8,11.25,1679.89
100000,1,200,1,10,0.6884,0.2091,13.2895,13.3116,17.4314,18.7565,75.2,11.25,1679.89
100000,1,200,4,10,0.8676,0.1620,22.4365,22.6246,28.1631,30.3475,44.6,11.25,1679.89
100000,1,200,10,10,0.9302,0.1155,44.1577,44.7947,52.3922,55.1431,22.6,11.25,1679.89
100000,1,200,20,10,0.9604,0.0867,71.7180,72.1887,82.6063,86.0810,13.9,11.25,1679.89
100000,1,200,50,10,0.9834,0.0561,128.9794,129.2306,141.3831,145.6681,7.8,11.25,1679.89
100000,2,50,1,10,0.8880,0.1644,3.9320,3.8438,5.7625,6.4116,254.3,11.27,1679.89
100000,2,50,4,10,0.9762,0.0676,9.9453,9.8577,12.5191,13.7231,100.5,11.27,1679.89
100000,2,50,10,10,0.9952,0.0279,19.1110,19.2430,22.5516,24.4673,52.3,11.27,1679.89
100000,2,50,20,10,0.9974,0.0159,31.9195,31.9810,36.6529,38.9877,31.3,11.27,1679.89
100000,2,50,50,10,1.0000,0.0000,63.3102,63.4819,69.5037,71.8687,15.8,11.27,1679.89
100000,2,100,1,10,0.8880,0.1644,3.9481,3.8421,5.6278,6.5315,253.3,11.27,1679.89
100000,2,100,4,10,0.9762,0.0676,10.0434,9.9310,12.6145,13.5883,99.6,11.27,1679.89
100000,2,100,10,10,0.9952,0.0279,19.2363,19.2925,22.7950,23.7983,52.0,11.27,1679.89
100000,2,100,20,10,0.9974,0.0159,31.8284,31.8062,36.5565,38.1695,31.4,11.27,1679.89
100000,2,100,50,10,1.0000,0.0000,62.9540,63.0393,69.0223,71.1313,15.9,11.27,1679.89
100000,2,200,1,10,0.9028,0.1420,6.1607,6.0547,8.5108,9.3610,162.3,11.27,1679.89
100000,2,200,4,10,0.9762,0.0676,9.9886,9.9707,12.4294,13.8540,100.1,11.27,1679.89
100000,2,200,10,10,0.9952,0.0279,19.1029,19.1984,22.8927,24.4479,52.3,11.27,1679.89
100000,2,200,20,10,0.9974,0.0159,31.9977,31.9877,36.6588,38.4465,31.3,11.27,1679.89
100000,2,200,50,10,1.0000,0.0000,63.1799,63.2240,70.5781,73.8424,15.8,11.27,1679.89
100000,4,50,1,10,0.9642,0.0873,4.0963,3.9743,5.8899,6.9954,244.1,11.19,1679.89
100000,4,50,4,10,0.9926,0.0284,10.2288,10.0898,13.1075,14.8321,97.8,11.19,1679.89
100000,4,50,10,10,0.9984,0.0125,19.4905,19.5992,23.1420,24.9584,51.3,11.19,1679.89
100000,4,50,20,10,0.9994,0.0077,32.5695,32.6729,37.5555,40.2993,30.7,11.19,1679.89
100000,4,50,50,10,1.0000,0.0000,64.7701,64.6936,71.9404,74.5081,15.4,11.19,1679.89
100000,4,100,1,10,0.9642,0.0873,4.1303,3.9700,6.1319,6.9171,242.1,11.19,1679.89
100000,4,100,4,10,0.9926,0.0284,10.2780,10.2155,13.0275,14.0664,97.3,11.19,1679.89
100000,4,100,10,10,0.9984,0.0125,19.6673,19.7534,23.3800,25.0269,50.8,11.19,1679.89
100000,4,100,20,10,0.9994,0.0077,32.5383,32.6404,37.3969,39.2629,30.7,11.19,1679.89
100000,4,100,50,10,1.0000,0.0000,64.4778,64.4397,71.6567,74.6744,15.5,11.19,1679.89
100000,4,200,1,10,0.9834,0.0484,6.3983,6.2806,8.6972,9.8099,156.3,11.19,1679.89
100000,4,200,4,10,0.9926,0.0284,10.3382,10.3627,12.9238,14.3768,96.7,11.19,1679.89
100000,4,200,10,10,0.9984,0.0125,19.5752,19.7619,23.3845,24.8980,51.1,11.19,1679.89
100000,4,200,20,10,0.9994,0.0077,32.5048,32.6307,37.2698,39.4846,30.8,11.19,1679.89
100000,4,200,50,10,1.0000,0.0000,64.8223,65.0788,72.0304,75.0559,15.4,11.19,1679.89
