scale,bits,ef_search,rerank_factor,k,recall_mean,recall_std,latency_avg_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps,encode_time_s,build_time_s
10000,1,50,1,10,0.7930,0.1859,5.7414,5.7329,7.2702,7.6019,174.2,1.13,89.01
10000,1,50,4,10,0.9284,0.1203,11.1236,11.0653,12.5541,13.6884,89.9,1.13,89.01
10000,1,50,10,10,0.9732,0.0699,14.7114,14.6801,15.9607,16.6533,68.0,1.13,89.01
10000,1,50,20,10,0.9914,0.0383,16.6394,16.5562,17.9875,18.9325,60.1,1.13,89.01
10000,1,50,50,10,0.9996,0.0063,19.1032,18.9865,20.7934,21.4899,52.3,1.13,89.01
10000,1,100,1,10,0.7930,0.1859,5.6199,5.5294,7.0416,7.8958,177.9,1.13,89.01
10000,1,100,4,10,0.9284,0.1203,11.1548,11.1976,12.5483,13.4141,89.6,1.13,89.01
10000,1,100,10,10,0.9732,0.0699,14.6854,14.6667,16.0608,16.6431,68.1,1.13,89.01
10000,1,100,20,10,0.9914,0.0383,16.6157,16.5188,17.9397,18.7656,60.2,1.13,89.01
10000,1,100,50,10,0.9996,0.0063,19.0835,18.9467,20.8471,21.8850,52.4,1.13,89.01
10000,2,50,1,10,0.9464,0.0990,2.0847,2.0469,2.7116,3.0969,479.7,1.13,89.01
10000,2,50,4,10,0.9922,0.0363,4.1432,4.0471,5.0342,5.8690,241.4,1.13,89.01
10000,2,50,10,10,0.9986,0.0117,5.7141,5.6176,6.9179,7.3681,175.0,1.13,89.01
10000,2,50,20,10,0.9994,0.0077,6.8855,6.7650,8.1677,8.9646,145.2,1.13,89.01
10000,2,50,50,10,0.9998,0.0045,9.4385,9.2791,11.2720,12.0800,105.9,1.13,89.01
10000,2,100,1,10,0.9464,0.0990,2.1059,2.0682,2.7322,3.0400,474.9,1.13,89.01
10000,2,100,4,10,0.9922,0.0363,4.0838,3.9501,5.0694,6.0113,244.9,1.13,89.01
10000,2,100,10,10,0.9986,0.0117,5.6266,5.5872,6.6404,7.2239,177.7,1.13,89.01
10000,2,100,20,10,0.9994,0.0077,6.9022,6.7866,8.0224,8.8867,144.9,1.13,89.01
10000,2,100,50,10,0.9998,0.0045,9.3535,9.1763,11.1258,12.1090,106.9,1.13,89.01
10000,4,50,1,10,0.9894,0.0388,2.2058,2.1694,2.8593,3.1430,453.3,1.11,89.01
10000,4,50,4,10,0.9996,0.0063,4.4312,4.3716,5.4821,5.9599,225.7,1.11,89.01
10000,4,50,10,10,0.9998,0.0045,6.2291,6.1394,7.4377,8.0696,160.5,1.11,89.01
10000,4,50,20,10,0.9996,0.0089,7.6083,7.5240,8.7727,9.3937,131.4,1.11,89.01
10000,4,50,50,10,1.0000,0.0000,10.3363,10.2103,12.0427,13.3717,96.7,1.11,89.01
10000,4,100,1,10,0.9894,0.0388,2.4414,2.3132,3.7715,5.0950,409.6,1.11,89.01
10000,4,100,4,10,0.9996,0.0063,5.1301,4.8537,7.2757,10.9411,194.9,1.11,89.01
10000,4,100,10,10,0.9998,0.0045,7.3923,6.9284,10.2805,16.6467,135.3,1.11,89.01
10000,4,100,20,10,0.9996,0.0089,7.6544,7.5800,8.8361,9.3139,130.6,1.11,89.01
10000,4,100,50,10,1.0000,0.0000,10.2329,10.1633,11.7794,12.7985,97.7,1.11,89.01
